Название,Статус ,Масса,Радиус,Угловая скорость (angular_distance),Большая полуось (semi_major_axis),Открытие,Опубликованность,Тип обнаружения,Альтернативное имя,Обнаруженные молекулы,Звезда-хост,Расстояние до звезды-хоста,Масса звезды,Радиус звезды
4 Uma b,Confirmed,,,0.011083,0.87,2007,Published in a refereed paper,Radial Velocity,,,4 Uma,78.5,1.234,
42 Dra b,Confirmed,,,0.01223,1.19,2009,Published in a refereed paper,Radial Velocity,,,42 Dra,97.3,0.98,22.03
47 Uma b,Confirmed,,,0.150322,2.1,1996,Published in a refereed paper,Radial Velocity,,,47 Uma,13.97,1.03,1.24
47 Uma c,Confirmed,,,0.257695,3.6,2001,Published in a refereed paper,Radial Velocity,,,47 Uma,13.97,1.03,1.24
47 Uma d,Confirmed,,,0.830351,11.6,2010,Published in a refereed paper,Radial Velocity,,,47 Uma,13.97,1.03,1.24
51 Eri b,Confirmed,2.6,1.11,,11.1,2015,Published in a refereed paper,Imaging,,"CH4, H2O",51 Eri,29.4,1.75,
51 Peg b,Confirmed,0.47,1.9,0.003537,0.052,1995,Published in a refereed paper,Radial Velocity,,"CO, H2O",51 Peg,14.7,1.11,1.266
55 Cnc b,Confirmed,0.84,,0.009303,0.11339,1996,Published in a refereed paper,Radial Velocity,,,55 Cnc,12.34,1.015,0.98
55 Cnc c,Confirmed,,,0.019473,0.23735,2002,Published in a refereed paper,Radial Velocity,,,55 Cnc,12.34,1.015,0.98
55 Cnc d,Confirmed,,,0.466775,5.446,2002,Published in a refereed paper,Radial Velocity,,,55 Cnc,12.34,1.015,0.98
55 Cnc e,Confirmed,0.02703,0.1737,0.001264,0.015439,2004,Published in a refereed paper,Primary Transit,,"H2O, HCN, N",55 Cnc,12.34,1.015,0.98
55 Cnc f,Confirmed,,,0.06329,0.7733,2007,Published in a refereed paper,Radial Velocity,,,55 Cnc,12.34,1.015,0.98
6 Lyn b,Confirmed,68.8,,0.038664,2.2,2008,Published in a refereed paper,Radial Velocity,,,6 Lyn,56.9,1.7,5.2
61 Vir b,Confirmed,,,0.005892,0.050201,2009,Published in a refereed paper,Radial Velocity,,,61 Vir,8.52,0.95,0.94
61 Vir c,Confirmed,,,0.025528,0.2175,2009,Published in a refereed paper,Radial Velocity,,,61 Vir,8.52,0.95,0.94
61 Vir d,Confirmed,,,0.055869,0.476,2009,Published in a refereed paper,Radial Velocity,,,61 Vir,8.52,0.95,0.94
7 CMA c,Confirmed,,,,2.143,2019,Published in a refereed paper,Radial Velocity,,,7 CMa,19.75,1.52,2.3
7 CMa b,Confirmed,,,0.096203,1.761,2011,Published in a refereed paper,Radial Velocity,HD 47205 b,,7 CMa,19.75,1.52,2.3
70 Vir b,Confirmed,,,0.021818,0.48,1996,Published in a refereed paper,Radial Velocity,,,70 Vir,22,0.92,1.968
75 Cet b,Confirmed,,,,2.1,2012,Published in a refereed paper,Radial Velocity,,,75 Cet,81.5,2.49,10.5
8 Umi b,Confirmed,,,,0.49,2015,Published in a refereed paper,Radial Velocity,,,8 Umi,159.1,1.8,9.9
81 Cet b,Confirmed,,,0.02572,2.5,2008,Published in a refereed paper,Radial Velocity,,,81 Cet,97.2,2.4,11
91 Aqr b,Confirmed,,,0.006593,0.7,2003,Published in a refereed paper,Radial Velocity,,,91 Aqr,45.9,1.4,11
AB Dor C b,Confirmed,13,,,0.58,2019,Published in a refereed paper,Imaging,,,AB Dor C,15.8,0.072,
AB Pic b,Confirmed,13.5,,5.813953,275,2005,Published in a refereed paper,Imaging,,,AB Pic,47.3,,
AD 3116 b,Confirmed,54.2,1.02,,,2017,Published in a refereed paper,Primary Transit,,,AD 3116,186.54,0.276,0.29
AS 205 A b,Confirmed,,,,0.162,2017,Published in a refereed paper,Radial Velocity,,,AS 205A,140,0.9,3.7
BD+03 2562 b,Confirmed,,,,1.3,2017,Published in a refereed paper,Radial Velocity,,,BD+03 2562,2618,1.14,32.35
BD+14 4559 b,Confirmed,,,0.01554,0.777,2009,Published in a refereed paper,Radial Velocity,,,BD+14 4559,50,0.86,
BD+15 2375 b,Confirmed,,,,0.576,2016,Published in a refereed paper,Radial Velocity,,,BD+15 2375,774,1.08,8.95
BD+15 2940 b,Confirmed,,,,0.539,2013,Published in a refereed paper,Radial Velocity,,,BD+15 2940,585,1.1,14.7
BD+20 2457 b,Confirmed,,,0.00725,1.45,2009,Published in a refereed paper,Radial Velocity,,,BD+20 2457,200,2.8,
BD+20 2457 c,Confirmed,,,0.01005,2.01,2009,Published in a refereed paper,Radial Velocity,,,BD+20 2457,200,2.8,
BD+20 274 c,Confirmed,,,,1.3,2012,Published in a refereed paper,Radial Velocity,,,BD+20 274,,0.8,17.3
BD+20 594 b,Confirmed,0.0513,0.199,,0.241,2016,Published in a refereed paper,Primary Transit,,,BD+20 594,152.1,0.961,0.928
BD+24 4697 b,Confirmed,,,,0.5,2016,Published in a refereed paper,Radial Velocity,"2MASS J23013928+2547169 b, HIP 113698 b",,BD+24 4697,44.7922,0.75,
BD+26 1888 b,Confirmed,,,,1.19,2016,Published in a refereed paper,Radial Velocity,,,BD+26 1888,38,0.76,
BD+48 738 b,Confirmed,,,,1,2011,Published in a refereed paper,Radial Velocity,,,BD +48 738,,0.74,11
BD+48 740 b,Confirmed,,,,1.7,2012,Published in a refereed paper,Default,,,BD+48 740,735,1.09,10.33
BD+49 828 b,Confirmed,,,,4.2,2015,Published in a refereed paper,Radial Velocity,,,BD+49 828,,1.52,7.6
BD-06 1339 b,Confirmed,,,,0.0428,2013,Published in a refereed paper,Radial Velocity,GJ 221 b,,BD-06 1339,20,0.7,
BD-06 1339 c,Confirmed,,,,0.435,2013,Published in a refereed paper,Radial Velocity,GJ 221 c,,BD-06 1339,20,0.7,
BD-06 1339 d,Confirmed,,,,1.06,2014,Published in a refereed paper,Radial Velocity,GJ 221 d,,BD-06 1339,20,0.7,
BD-08 2823 b,Confirmed,,,0.001327,0.056,2009,Published in a refereed paper,Radial Velocity,,,BD-08 2823,42.2,0.74,
BD-08 2823 c,Confirmed,,,0.016114,0.68,2009,Published in a refereed paper,Radial Velocity,,,BD-08 2823,42.2,0.74,
BD-10 3166 b,Confirmed,,1.03,0.000697,0.046,2000,Published in a refereed paper,Radial Velocity,,,BD-10 3166,66,0.99,1.71
BD-11 4672 b,Confirmed,,,0.091575,2.28,2010,Published in a refereed paper,Radial Velocity,,,BD-11 4672,27.3,0.571,0.52
BD-17 63 b,Confirmed,,,0.038728,1.34,2008,Published in a refereed paper,Radial Velocity,,,BD-17 63,34.6,0.74,0.69
Barnard's  b,Confirmed,,,,,2018,Published in a refereed paper,Radial Velocity,,,Barnard's star,1.8,0.163,0.178
CD-35 2722 b,Confirmed,31,,3.14554,67,2011,Published in a refereed paper,Imaging,,,CD-35 2722,21.3,0.4,
CFBD 1458 B,Confirmed,10.5,,,,2011,Published in a refereed paper,Imaging,CFBDSIR J1458+1013B,,,23.1,,
CFBDS 1458 A,Confirmed,24.1,,,,2010,Published in a refereed paper,Imaging,"CFBDSIR 1458+10 A, CFBDSIR J1458+1013 A",,,23.1,,
CFBDS0059,Confirmed,22.5,,,,2008,Published in a refereed paper,Imaging,CFBDS J005910.90-011401.3,,,13,,
CFBDSIR J2149-0403 b,Confirmed,21,,,,2017,Published in a refereed paper,Imaging,,,CFBDSIR J2149-0403,55.2,,
CHXR 73 b,Confirmed,12,,,200,2006,Published in a refereed paper,Imaging,,,CHXR 73,,0.35,
CI Tau b,Confirmed,11.6,,,,2016,Published in a refereed paper,Radial Velocity,,CO,CI Tau,158,0.9,
CT Cha b,Confirmed,17,2.2,2.666667,440,2008,Published in a refereed paper,Imaging,,,CT Cha,165,,
CWISEP J1935-1546,Confirmed,11,,,,2019,Published in a refereed paper,Imaging,,,,10.1,,
Cha Ha 8 b,Confirmed,,,0.006375,1.02,2007,Published in a refereed paper,Radial Velocity,,,Cha Ha 8,196.76,0.085,
CoRoT-1 b,Confirmed,1.03,1.49,5.50E-05,0.0254,2007,Published in a refereed paper,Primary Transit,,,CoRoT-1,460,0.95,1.11
