Название,Статус ,Масса,Радиус,Угловая скорость (angular_distance),Большая полуось (semi_major_axis),Открытие,Опубликованность,Тип обнаружения,Альтернативное имя,Обнаруженные молекулы,Звезда-хост,Расстояние до звезды-хоста,Масса звезды,Радиус звезды
HD 10442 b,Confirmed,,,,2.335,2014,Published in a refereed paper,Primary Transit,,,HD 10442,,1.56,
HD 104985 b,Confirmed,,,0.007647,0.95,2003,Published in a refereed paper,Radial Velocity,,,HD 104985,102,1.6,10.87
HD 106252 b,Confirmed,32.86,,0.072115,2.7,2002,Published in a refereed paper,Radial Velocity,,,HD 106252,37.44,0.96,1.09
HD 106270 b,Confirmed,,,0.050648,4.3,2011,Published in a refereed paper,Radial Velocity,,,HD 106270,84.9,1.32,2.5
HD 106315 b,Confirmed,0.0396,0.218,,0.09012,2017,Published in a refereed paper,Primary Transit,,,HD 106315,107.3,1.07,1.18
HD 106315 c,Confirmed,0.0478,0.352,,0.1526,2017,Published in a refereed paper,Primary Transit,,,HD 106315,107.3,1.07,1.18
HD 10647 b,Confirmed,,,0.117341,2.03,2003,Announced on a professional conference,Radial Velocity,,,HD 10647,17.3,1.1,1.1
HD 106515 A b,Confirmed,,,,4.59,2011,Published in a refereed paper,Radial Velocity,,,HD 106515 A,35.2,0.91,
HD 106574 b,Confirmed,,,,2.2,2018,Published in a refereed paper,Radial Velocity,,,HD 106574,143,1.2,17.1
HD 106906 (AB) b,Confirmed,11,,,654,2013,Published in a refereed paper,Imaging,HD 106906 b,,HD 106906 (AB),92,1.5,
HD 10697 b,Confirmed,6.837,1.152,0.066339,2.14,2000,Published in a refereed paper,Radial Velocity,109 Psc b,,HD 10697,32.56,1.13,1.79
HD 107148 b,Confirmed,,,0.005244,0.269,2006,Published in a refereed paper,Radial Velocity,,,HD 107148,51.3,1.12,
HD 108147 b,Confirmed,,,0.002645,0.102,2002,Published in a refereed paper,Radial Velocity,,,HD 108147,38.57,1.19,1.22
HD 108341 A b,Confirmed,,,,2,2014,Published in a refereed paper,Radial Velocity,HD 108341 b,,HD 108341 A,49.4,0.843,0.79
HD 108863 b,Confirmed,,,0.010072,1.4,2011,Published in a refereed paper,Radial Velocity,,,HD 108863,139,1.85,5.6
HD 108874 b,Confirmed,,,0.015343,1.051,2003,Published in a refereed paper,Radial Velocity,,,HD 108874,68.5,1,1.22
HD 108874 c,Confirmed,,,0.039124,2.68,2005,Published in a refereed paper,Radial Velocity,,,HD 108874,68.5,1,1.22
HD 109246 b,Confirmed,,,0.00503,0.33,2010,Published in a refereed paper,Radial Velocity,,,HD 109246,65.6,1.01,1.02
HD 109271 b,Confirmed,,,,0.079,2013,Published in a refereed paper,Radial Velocity,,,HD 109271,62,1.047,
HD 109271 c,Confirmed,,,,0.196,2013,Published in a refereed paper,Radial Velocity,,,HD 109271,62,1.047,
HD 109749 b,Confirmed,,0.99,0.001076,0.0635,2005,Announced on a professional conference,Radial Velocity,,,HD 109749,59,1.2,
HD 110014 b,Confirmed,,,0.023778,2.31,2009,Published in a refereed paper,Radial Velocity,chi Vir b,,HD 110014,90,2.17,20.9
HD 110014 c,Confirmed,,,,0.64,2015,Published in a refereed paper,Radial Velocity,chi Vir c,,HD 110014,90,2.17,20.9
HD 111232 b,Confirmed,,,0.067931,1.97,2004,Published in a refereed paper,Radial Velocity,,,HD 111232,29,0.78,
HD 111591 b,Confirmed,,,,2.5,2017,Published in a refereed paper,Radial Velocity,,,HD 111591,108,1.94,8.03
HD 11231 b,Confirmed,,,,0.0664,2019,Published in a refereed paper,Radial Velocity,DMPP-2 b,,HD 11231,134,1.44,1.78
HD 113337 b,Confirmed,,,,1.03,2013,Published in a refereed paper,Radial Velocity,,,HD 113337,36.9,1.4,1.5
HD 113337 c,Confirmed,,,,4.8,2018,Published in a refereed paper,Radial Velocity,,,HD 113337,36.9,1.4,1.5
HD 113538 b,Confirmed,,,,1.24,2010,Published in a refereed paper,Radial Velocity,,,HD 113538,15.8,0.585,0.53
HD 113538 c,Confirmed,,,0.153797,2.44,2010,Published in a refereed paper,Radial Velocity,,,HD 113538,15.8,0.585,0.53
HD 113996 b,Confirmed,,,,1.6,2017,Published in a refereed paper,Radial Velocity,,,HD 113996,102,1.49,25.11
HD 114386 b,Confirmed,,,0.058929,1.02,2003,Published in a refereed paper,Radial Velocity,,,HD 114386,28,0.75,0.76
HD 114386 c,Confirmed,,,,,2011,Submitted to a professional journal,Radial Velocity,,,HD 114386,28,0.75,0.76
HD 114613 b,Confirmed,,1.182,,5.34,2014,Published in a refereed paper,Radial Velocity,,,HD 114613,20.67,1.27,2.14
HD 114729 A b,Confirmed,,,0.059429,2.08,2002,Published in a refereed paper,Radial Velocity,HD 114729 b,,HD 114729 A,35,0.93,1.46
HD 114783 b,Confirmed,6.3,,0.058824,1.16,2001,Published in a refereed paper,Radial Velocity,,,HD 114783,20.4,0.92,0.78
HD 114783 c,Confirmed,,,,,2010,Published in a refereed paper,Radial Velocity,,,HD 114783,20.4,0.92,0.78
HD 11506 b,Confirmed,,,0.045151,2.43,2007,Submitted to a professional journal,Radial Velocity,,,HD 11506,53.82,1.19,1.38
HD 11506 c,Confirmed,,,0.011873,0.639,2009,Published in a refereed paper,Radial Velocity,,,HD 11506,53.82,1.19,1.38
HD 1160 b,Confirmed,79,,0.772947,80,2012,Published in a refereed paper,Imaging,,,HD 1160,103.5,,
HD 116029 A b,Confirmed,,,0.014042,1.73,2011,Published in a refereed paper,Radial Velocity,HD 116029 b,,HD 116029 A,123.2,1.58,4.6
HD 116029 A c,Confirmed,,,,,2010,Published in a refereed paper,Radial Velocity,HD 116029 c,,HD 116029 A,123.2,1.58,4.6
HD 117207 b,Confirmed,,,0.114545,3.78,2004,Published in a refereed paper,Radial Velocity,,,HD 117207,33,1.07,1.09
HD 11755 b,Confirmed,,,,1.08,2015,Published in a refereed paper,Radial Velocity,,,HD 11755,231.5,0.9,27.3
HD 117618 b,Confirmed,,,0.004632,0.18,2004,Published in a refereed paper,Radial Velocity,,,HD 117618,38,1.05,1.19
HD 118203 b,Confirmed,2.173,1.133,0.00079,0.07082,2005,Published in a refereed paper,Radial Velocity,,,HD 118203,88.6,1.23,
HD 118865 B,Confirmed,55,,,9200,2013,Published in a refereed paper,Imaging,ULAS J133943.79+010436.4,,HD 118865 A,,,
HD 118904 b,Confirmed,,,,1.7,2018,Published in a refereed paper,Radial Velocity,,,HD 118904,111,1.4,14.8
HD 119445 b,Confirmed,,,,1.71,2009,Published in a refereed paper,Radial Velocity,,,HD 119445,,3.9,20.5
HD 11964 b,Confirmed,,,0.092996,3.16,2005,Published in a refereed paper,Radial Velocity,,,HD 11964,33.98,1.125,2.18
HD 11964 c,Confirmed,,,0.006739,0.229,2005,Published in a refereed paper,Radial Velocity,,,HD 11964,33.98,1.125,2.18
HD 11977 b,Confirmed,,,0.029023,1.89,2005,Published in a refereed paper,Radial Velocity,,,HD 11977,66.5,1.91,13
HD 120084 b,Confirmed,,,,4.3,2013,Published in a refereed paper,Radial Velocity,,,HD 120084,97.7,2.39,9.12
HD 121504 b,Confirmed,,,0.007437,0.33,2003,Published in a refereed paper,Radial Velocity,,,HD 121504,44.37,1.18,
HD 122562 b,Confirmed,,,,4.1,2016,Published in a refereed paper,Radial Velocity,,,HD 122562,53.8,1.13,
HD 12484 b,Confirmed,,,,0.297,2016,Published in a refereed paper,Radial Velocity,,,HD 12484,51.1,1.01,
HD 125390 b,Confirmed,,1.08,,1.55,2018,Published in a refereed paper,Radial Velocity,,,HD 125390,154.3,1.36,6.17
HD 125595 b,Confirmed,,,0.002953,0.0809,2009,Published in a refereed paper,Radial Velocity,,,HD 125595,27.4,0.756,
HD 125612 b,Confirmed,,,0.025937,1.37,2007,Submitted to a professional journal,Radial Velocity,,,HD 125612,52.82,1.1,1.05
HD 125612 c,Confirmed,,,0.000947,0.05,2009,Submitted to a professional journal,Radial Velocity,,,HD 125612,52.82,1.1,1.05
HD 125612 d,Confirmed,,,0.079515,4.2,2009,Submitted to a professional journal,Radial Velocity,,,HD 125612,52.82,1.1,1.05
HD 126053 B,Confirmed,35,0.9,,2630,2012,Published in a refereed paper,Imaging,"BD+01 2920 B, WISE J142320.84+011638.0",,HD 126053 A,17.4385,0.87,
HD 12648 b,Confirmed,,,,0.54,2015,Published in a refereed paper,Radial Velocity,,,HD 12648,158.4,1.2,9.2
HD 126525 b,Confirmed,,,0.04752,1.8105,2011,Submitted to a professional journal,Radial Velocity,,,HD 126525,38.1,,
HD 12661 b,Confirmed,,,0.022336,0.83,2000,Published in a refereed paper,Radial Velocity,,,HD 12661,37.16,1.07,1.12
HD 12661 c,Confirmed,,,0.068891,2.56,2002,Published in a refereed paper,Radial Velocity,,,HD 12661,37.16,1.07,1.12
HD 126614 A b,Confirmed,,,0.032459,2.35,2010,Published in a refereed paper,Radial Velocity,HD 126614 b,,HD 126614 A,72.4,1.145,1.09
HD 128311 b,Confirmed,,,0.066205,1.099,2002,Published in a refereed paper,Radial Velocity,,,HD 128311,16.6,0.84,0.73
HD 128311 c,Confirmed,4.19,,0.106024,1.76,2005,Published in a refereed paper,Radial Velocity,,,HD 128311,16.6,0.84,0.73
HD 128356 b,Confirmed,,,,0.87,2016,Published in a refereed paper,Radial Velocity,,,HD 128356,26.03,0.65,0.85
HD 129445 b,Confirmed,,,0.042893,2.9,2010,Published in a refereed paper,Radial Velocity,,,HD 129445,67.61,0.99,
HD 130322 b,Confirmed,1.05,,0.002933,0.088,1999,Published in a refereed paper,Radial Velocity,,,HD 130322,30,0.79,0.83
HD 131496 b,Confirmed,,,0.019,2.09,2011,Published in a refereed paper,Radial Velocity,,,HD 131496,110,1.61,4.6
HD 13167 b,Confirmed,,1.167,,4.1,2018,Published in a refereed paper,Radial Velocity,,,HD 13167,149.6,1.35,2.39
HD 13189 b,Confirmed,,,0.01,1.85,2005,Published in a refereed paper,Radial Velocity,,,HD 13189,185,4.5,50.39
HD 132406 b,Confirmed,,,0.027887,1.98,2007,Published in a refereed paper,Radial Velocity,,,HD 132406,71,1.09,
HD 132563 B b,Confirmed,,,0.027292,2.62,2011,Published in a refereed paper,Radial Velocity,,,HD 132563B,96,1.01,
HD 133131 A b,Confirmed,,,,1.44,2016,Published in a refereed paper,Radial Velocity,,,HD 133131 A,47,0.95,
HD 133131 A c,Confirmed,,,,4.36,2016,Published in a refereed paper,Radial Velocity,,,HD 133131 A,47,0.95,
HD 133131 B b,Confirmed,,,,,2016,Published in a refereed paper,Radial Velocity,,,HD 133131 B,47,0.93,
HD 134060 b,Confirmed,,,0.001835,0.0444,2011,Submitted to a professional journal,Radial Velocity,,,HD 134060,24.2,,
HD 134060 c,Confirmed,,,0.091996,2.2263,2011,Submitted to a professional journal,Radial Velocity,,,HD 134060,24.2,,
HD 134113 b,Confirmed,,,,0.638,2016,Published in a refereed paper,Radial Velocity,,,HD 134113,71.9,0.81,
HD 134606 b,Confirmed,,,0.00386,0.1023,2011,Submitted to a professional journal,Radial Velocity,,,HD 134606,26.5,,
HD 134606 c,Confirmed,,,0.011177,0.2962,2011,Submitted to a professional journal,Radial Velocity,,,HD 134606,26.5,,
HD 134606 d,Confirmed,,,0.043649,1.1567,2011,Submitted to a professional journal,Radial Velocity,,,HD 134606,26.5,,
HD 134987 b,Confirmed,,,0.036486,0.81,1999,Published in a refereed paper,Radial Velocity,,,HD 134987,22.2,1.07,1.25
HD 134987 c,Confirmed,,,0.261261,5.8,2009,Published in a refereed paper,Radial Velocity,,,HD 134987,22.2,1.07,1.25
HD 136118 b,Confirmed,42,,0.027725,1.45,2002,Published in a refereed paper,Default,,,HD 136118,52.3,1.24,1.74
HD 136352 b,Confirmed,,,0.006304,0.0933,2011,Submitted to a professional journal,Radial Velocity,,,HD 136352,14.8,,
HD 136352 c,Confirmed,,,0.01125,0.1665,2011,Submitted to a professional journal,Radial Velocity,,,HD 136352,14.8,,
HD 136352 d,Confirmed,,,0.02777,0.411,2011,Submitted to a professional journal,Radial Velocity,,,HD 136352,14.8,,
HD 136418 b,Confirmed,,,0.013442,1.32,2010,Submitted to a professional journal,Radial Velocity,,,HD 136418,98.2,1.33,3.4
HD 13724 b,Confirmed,50.5,,,26.3,2019,Published in a refereed paper,Radial Velocity,,,HD 13724,43.47,1.14,1.07
HD 137388 b,Confirmed,,,0.023421,0.89,2011,Published in a refereed paper,Radial Velocity,,,HD 137388,38,0.86,0.82
HD 137510 b,Confirmed,,,,1.88,2004,Published in a refereed paper,Radial Velocity,"2MASS J15255328+1928505, HIP 75535, HR 5740",,HD 137510,41.75,1.36,1.9
HD 13808 b,Confirmed,,,0.003556,0.1017,2011,Published in a refereed paper,Radial Velocity,,,HD 13808,28.6,,
HD 13808 c,Confirmed,,,0.008657,0.2476,2011,Submitted to a professional journal,Radial Velocity,,,HD 13808,28.6,,
HD 13908 b,Confirmed,,,,0.154,2013,Published in a refereed paper,Radial Velocity,,,HD 13908,71.2,1.29,
HD 13908 c,Confirmed,,,,2.03,2013,Published in a refereed paper,Radial Velocity,,,HD 13908,71.2,1.29,
HD 13931 b,Confirmed,,,0.116516,5.15,2010,Published in a refereed paper,Radial Velocity,,,HD 13931,44.2,1.02,1.23
HD 139357 b,Confirmed,,,0.01944,2.36,2009,Published in a refereed paper,Radial Velocity,,,HD 139357,121.4,1.35,11.47
HD 1397 b,Confirmed,0.419,1.023,,0.1097,2018,Published in a refereed paper,Primary Transit,,,HD 1397,79.31,1.322,2.328
HD 14067 b,Confirmed,,,,3.4,2014,Published in a refereed paper,Radial Velocity,,,HD 14067,163.4,2.4,12.4
HD 141399 b,Confirmed,,,,0.415,2014,Published in a refereed paper,Radial Velocity,,,HD 141399,36.17,1.07,1.46
HD 141399 c,Confirmed,,,,0.689,2014,Published in a refereed paper,Radial Velocity,,,HD 141399,36.17,1.07,1.46
HD 141399 d,Confirmed,,,,2.09,2014,Published in a refereed paper,Radial Velocity,,,HD 141399,36.17,1.07,1.46
HD 141399 e,Confirmed,,,,5,2014,Published in a refereed paper,Radial Velocity,,,HD 141399,36.17,1.07,1.46
HD 141937 b,Confirmed,,,0.045427,1.52,2002,Published in a refereed paper,Radial Velocity,,,HD 141937,33.46,1.1,1.06
HD 142 A b,Confirmed,,,0.049515,1.02,2001,Published in a refereed paper,Radial Velocity,HD 142 b,,HD 142 A,20.6,1.1,0.86
HD 142 A c,Confirmed,,,0.330097,6.8,2012,Published in a refereed paper,Radial Velocity,HD 142 c,,HD 142 A,20.6,1.1,0.86
HD 142022 A b,Confirmed,29.4,,0.084472,3.03,2005,Published in a refereed paper,Radial Velocity,,,HD 142022 A,35.87,0.99,0.705
HD 142245 A b,Confirmed,,,0.025297,2.77,2011,Published in a refereed paper,Radial Velocity,HD 142245 b,,HD 142245 A,109.5,1.69,5.2
HD 142415 b,Confirmed,,,0.030702,1.05,2003,Published in a refereed paper,Radial Velocity,,,HD 142415,34.2,1.09,1.03
HD 143105 b,Confirmed,,,,0.0379,2016,Published in a refereed paper,Radial Velocity,,,HD 143105,48.7,1.51,
HD 143361 b,Confirmed,,,0.033698,2,2008,Published in a refereed paper,Radial Velocity,,,HD 143361,59.35,0.95,
HD 143761 b,Confirmed,,,,0.2196,2016,Published in a refereed paper,Radial Velocity,,,HD 143761,17.236,0.889,1.362
HD 143761 c,Confirmed,,,,0.4123,2016,Published in a refereed paper,Radial Velocity,,,HD 143761,17.236,0.889,1.362
HD 145377 b,Confirmed,,,0.007799,0.45,2008,Published in a refereed paper,Radial Velocity,,,HD 145377,57.7,1.12,1.14
HD 145457 b,Confirmed,,,0.006032,0.76,2010,Published in a refereed paper,Radial Velocity,,,HD 145457,126,1.9,9.9
HD 145934 b,Confirmed,,,,4.6,2015,Published in a refereed paper,Radial Velocity,,,HD 145934,,1.748,5.38
HD 1461 b,Confirmed,,,0.002711,0.0634,2009,Published in a refereed paper,Radial Velocity,,,HD 1461,23.4,1.02,1.095
HD 1461 c,Confirmed,,,0.004774,0.1117,2011,Published in a refereed paper,Radial Velocity,,,HD 1461,23.4,1.02,1.095
HD 147018 b,Confirmed,,,0.005559,0.2388,2009,Published in a refereed paper,Radial Velocity,,,HD 147018,42.96,0.927,
HD 147018 c,Confirmed,,,0.044739,1.922,2009,Published in a refereed paper,Radial Velocity,,,HD 147018,42.96,0.927,
HD 147379 b,Confirmed,,,,0.3193,2018,Published in a refereed paper,Radial Velocity,"Gl617A b, GJ 617A b",,HD 147379,10.735,0.58,0.57
HD 147513 b,Confirmed,,,0.102326,1.32,2003,Published in a refereed paper,Radial Velocity,,,HD 147513,12.9,0.92,1
HD 14787 b,Confirmed,,1.25,,1.7,2018,Published in a refereed paper,Radial Velocity,,,HD 14787,119.5,1.43,5.01
HD 147873 b,Confirmed,,,,0.522,2016,Published in a refereed paper,Radial Velocity,,,HD 147873,104.93,1.38,2.29
HD 147873 c,Confirmed,,,,1.36,2016,Published in a refereed paper,Radial Velocity,,,HD 147873,104.93,1.38,2.29
HD 148156 b,Confirmed,,,0.046183,2.45,2009,Submitted to a professional journal,Radial Velocity,,,HD 148156,53.05,1.22,1.21
HD 148164 b,Confirmed,,,,6.15,2018,Published in a refereed paper,Radial Velocity,,,HD 148164,72,1.21,1.34
HD 148164 c,Confirmed,,,,0.993,2018,Published in a refereed paper,Radial Velocity,,,HD 148164,72,1.21,1.34
HD 148284 b,Confirmed,,1.067,,0.974,2018,Published in a refereed paper,Radial Velocity,,,HD 148284,94,1.07,1.48
HD 148427 b,Confirmed,,,0.015683,0.93,2009,Published in a refereed paper,Radial Velocity,,,HD 148427,59.3,1.45,3.22
HD 149026 b,Confirmed,0.357,0.718,0.000543,0.04288,2005,Published in a refereed paper,Primary Transit,,,HD 149026,78.9,1.3,1.497
HD 149143 b,Confirmed,,1.05,0.000825,0.052,2005,Announced on a professional conference,Radial Velocity,,,HD 149143,63,1.1,
HD 1502 b,Confirmed,,1.183,0.008239,1.262,2011,Published in a refereed paper,Radial Velocity,,,HD 1502,159,1.46,4.67
HD 150433 b,Confirmed,,,0.065213,1.9303,2011,Submitted to a professional journal,Radial Velocity,,,HD 150433,29.6,,
HD 150706 b,Confirmed,,,0.246324,6.7,2002,Announced on a professional conference,Radial Velocity,,,HD 150706,27.2,0.94,0.87
HD 152079 b,Confirmed,,,0.037572,3.2,2010,Published in a refereed paper,Radial Velocity,,,HD 152079,85.17,1.023,
HD 152581 b,Confirmed,,,0.007957,1.48,2011,Published in a refereed paper,Radial Velocity,,,HD 152581,186,0.927,4.8
HD 153950 b,Confirmed,,,0.025806,1.28,2008,Published in a refereed paper,Radial Velocity,,,HD 153950,49.6,1.12,1.34
HD 154088 b,Confirmed,,,0.007393,0.1316,2011,Submitted to a professional journal,Radial Velocity,,,HD 154088,17.8,,
HD 154345 b,Confirmed,1.3,,0.238095,4.3,2006,Published in a refereed paper,Radial Velocity,,,HD 154345,18.06,0.88,
HD 154672 b,Confirmed,,,0.009119,0.6,2008,Published in a refereed paper,Radial Velocity,,,HD 154672,65.8,1.06,1.27
HD 154857 b,Confirmed,,,0.017518,1.291,2004,Published in a refereed paper,Radial Velocity,,,HD 154857,64.2,1.718,1.76
HD 154857 c,Confirmed,,,,5.36,2014,Published in a refereed paper,Radial Velocity,,,HD 154857,64.2,1.718,1.76
HD 155233 b,Confirmed,,,,2,2015,Published in a refereed paper,Radial Velocity,HIP 84056,,HD 155233,75.1,1.5,5
HD 155358 b,Confirmed,,,0.014884,0.64,2007,Published in a refereed paper,Radial Velocity,,,HD 155358,43,0.92,
HD 155358 c,Confirmed,,,0.023721,1.02,2007,Published in a refereed paper,Radial Velocity,,,HD 155358,43,0.92,
HD 156279 b,Confirmed,,,0.013525,0.495,2011,Published in a refereed paper,Radial Velocity,,,HD 156279,36.6,0.93,
HD 156279 c,Confirmed,,,,,2010,Published in a refereed paper,Radial Velocity,,,HD 156279,36.6,0.93,
HD 156411 b,Confirmed,,,0.03412,1.88,2009,Submitted to a professional journal,Radial Velocity,,,HD 156411,55.1,1.25,2.16
HD 156668 b,Confirmed,,,0.002041,0.05,2010,Submitted to a professional journal,Radial Velocity,,,HD 156668,24.5,0.772,0.72
HD 157172 b,Confirmed,,,0.013041,0.416,2011,Published in a refereed paper,Radial Velocity,,,HD 157172,31.9,,
HD 158038 b,Confirmed,,,0.014672,1.52,2011,Published in a refereed paper,Radial Velocity,,,HD 158038,103.6,1.65,4.8
HD 158259 b,Confirmed,0.0085,0.107,,,2020,Published in a refereed paper,Primary Transit,,,HD 158259,27.08,1.08,1.21
HD 158259 c,Confirmed,,,,,2019,Published in a refereed paper,Radial Velocity,,,HD 158259,27.08,1.08,1.21
HD 158259 d,Confirmed,,,,,2019,Published in a refereed paper,Radial Velocity,,,HD 158259,27.08,1.08,1.21
HD 158259 e,Confirmed,,,,,2019,Published in a refereed paper,Radial Velocity,,,HD 158259,27.08,1.08,1.21
HD 158259 f,Confirmed,,,,,2019,Published in a refereed paper,Radial Velocity,,,HD 158259,27.08,1.08,1.21
HD 158996 b,Confirmed,,,,2.1,2018,Published in a refereed paper,Radial Velocity,,,HD 158996,294.1,1.8,50.3
HD 159243 b,Confirmed,,,,0.11,2013,Published in a refereed paper,Radial Velocity,,,HD 159243,69.2,1.125,
HD 159243 c,Confirmed,,,,0.8,2013,Published in a refereed paper,Radial Velocity,,,HD 159243,69.2,1.125,
HD 159868 b,Confirmed,,1.202,0.042694,2.32,2007,Published in a refereed paper,Radial Velocity,,,HD 159868,52.7,1.19,2.13
HD 159868 c,Confirmed,,1.269,0.018975,1.032,2012,Published in a refereed paper,Radial Velocity,,,HD 159868,52.7,1.19,2.13
HD 1605 b,Confirmed,,,,1.48,2015,Published in a refereed paper,Radial Velocity,,,HD 1605,84.6,1.31,3.8
HD 1605 c,Confirmed,,,,3.52,2015,Published in a refereed paper,Radial Velocity,,,HD 1605,84.6,1.31,3.8
HD 160508 b,Confirmed,,,,0.68,2016,Published in a refereed paper,Radial Velocity,,,HD 160508,92.3,1.25,
HD 16141 A b,Confirmed,,,0.009749,0.35,2000,Published in a refereed paper,Radial Velocity,HD 16141 b,,HD 16141 A,35.9,1.01,1
HD 16175 b,Confirmed,,,0.035117,2.148,2007,Published in a refereed paper,Radial Velocity,,,HD 16175,59.8,1.35,1.87
HD 162004 b,Confirmed,,,,4.43,2015,Published in a refereed paper,Radial Velocity,,,HD 162004,22.16,1.19,
HD 162020 b,Confirmed,,,0.002367,0.074,2002,Published in a refereed paper,Radial Velocity,,,HD 162020,31.26,0.75,0.71
HD 163296 b,Confirmed,0.3,,,105,2016,Published in a refereed paper,Default,,,HD 163296,122,2.3,
HD 163296 c,Confirmed,0.3,,,160,2016,Published in a refereed paper,Default,,,HD 163296,122,2.3,
HD 163607 b,Confirmed,,1.269,0.005217,0.362,2011,Submitted to a professional journal,Radial Velocity,,,HD 163607,69,1.12,1.76
HD 163607 c,Confirmed,,1.202,0.035072,2.39,2011,Submitted to a professional journal,Radial Velocity,,,HD 163607,69,1.12,1.76
HD 16417 b,Confirmed,,,0.00549,0.14,2009,Published in a refereed paper,Radial Velocity,,,HD 16417,25.5,1.18,
HD 164428 b,Confirmed,,,,1.6,2018,Published in a refereed paper,Radial Velocity,,,HD 164428,274,1.5,35.4
HD 164509 b,Confirmed,,,0.016827,0.875,2011,Published in a refereed paper,Radial Velocity,,,HD 164509,52,1.13,1.06
HD 164595 b,Confirmed,,,,0.23,2015,Published in a refereed paper,Radial Velocity,,,HD 164595,28.93,0.99,
HD 164604 b,Confirmed,,,0.029737,1.331,2010,Published in a refereed paper,Radial Velocity,,,HD 164604,39.4,0.77,
HD 164922 b,Confirmed,,,0.096215,2.115,2006,Published in a refereed paper,Radial Velocity,,,HD 164922,22.13,0.874,0.999
HD 164922 c,Confirmed,,,,0.3351,2016,Published in a refereed paper,Radial Velocity,,,HD 164922,22.13,0.874,0.999
HD 165155 b,Confirmed,,,,1.13,2016,Published in a refereed paper,Radial Velocity,,,HD 165155,64.98,1.02,0.95
HD 1666 b,Confirmed,,,,0.94,2015,Published in a refereed paper,Radial Velocity,,,HD 1666,110.6,1.5,1.93
HD 166724 b,Confirmed,,,,5.42,2011,Submitted to a professional journal,Radial Velocity,,,HD 166724,42.3,,
HD 167042 b,Confirmed,,,0.026,1.3,2007,Published in a refereed paper,Radial Velocity,,,HD 167042,50,1.64,4.3
HD 168443 b,Confirmed,,,0.007841,0.2931,1998,Published in a refereed paper,Radial Velocity,,,HD 168443,37.38,0.995,1.51
HD 168443 c,Confirmed,29.463,,0.075904,2.8373,2001,Published in a refereed paper,Radial Velocity,,,HD 168443,37.38,0.995,1.51
HD 168746 b,Confirmed,,,0.001507,0.065,2002,Published in a refereed paper,Radial Velocity,,,HD 168746,43.12,0.88,1.12
HD 1690 b,Confirmed,,,0.004075,1.3,2010,Published in a refereed paper,Radial Velocity,,,HD 1690,319,1.09,16.7
HD 169142 b,Confirmed,2.2,,,36.4,2014,Published in a refereed paper,Imaging,,,HD169142,117,1.65,1.6
HD 169830 b,Confirmed,,,0.022302,0.81,2000,Published in a refereed paper,Radial Velocity,,,HD 169830,36.32,1.4,1.84
HD 169830 c,Confirmed,,,0.099119,3.6,2003,Published in a refereed paper,Radial Velocity,,,HD 169830,36.32,1.4,1.84
HD 170469 b,Confirmed,,,0.034477,2.24,2007,Submitted to a professional journal,Radial Velocity,,,HD 170469,64.97,1.14,1.22
HD 17092 b,Confirmed,,,0.011835,1.29,2007,Published in a refereed paper,Radial Velocity,,,HD 17092,109,2.3,
HD 171028 b,Confirmed,,,0.014667,1.32,2007,Submitted to a professional journal,Radial Velocity,,,HD 171028,90,0.99,1.95
HD 171238 b,Confirmed,,,0.050517,2.54,2009,Published in a refereed paper,Radial Velocity,,,HD 171238,50.28,0.943,
HD 17156 b,Confirmed,3.195,1.095,0.002074,0.1623,2007,Published in a refereed paper,Primary Transit,,,HD 17156,78.24,1.275,1.508
HD 173416 b,Confirmed,,,0.008593,1.16,2009,Published in a refereed paper,Radial Velocity,,,HD 173416,135,2,13.5
HD 175167 b,Confirmed,,,0.03581,2.4,2010,Published in a refereed paper,Radial Velocity,,,HD 175167,67.02,1.102,
HD 175370 b,Confirmed,,,,0.98,2016,Published in a refereed paper,Radial Velocity,,,HD 175370,272,1.02,23.5
HD 175541 b,Confirmed,,,0.008047,1.03,2007,Published in a refereed paper,Radial Velocity,,,HD 175541,128,1.65,3.85
HD 175607 b,Confirmed,,,,,2015,Published in a refereed paper,Radial Velocity,,,HD 175607,45.27,0.71,0.71
HD 176051 b,Confirmed,1.5,,0.117412,1.76,2010,Published in a refereed paper,Astrometry,,,HD 176051,14.99,0.9,
HD 17674 b,Confirmed,,,,1.42,2017,Published in a refereed paper,Radial Velocity,,,HD 17674,44.5,0.98,1.18
HD 176986 b,Confirmed,,,,0.06296,2017,Published in a refereed paper,Radial Velocity,,,HD 176986,26.4,0.789,0.782
HD 176986 c,Confirmed,,,,0.11878,2017,Published in a refereed paper,Radial Velocity,,,HD 176986,26.4,0.789,0.782
HD 177830 A b,Confirmed,,,0.020708,1.2218,1999,Published in a refereed paper,Radial Velocity,HD 177830 b,,HD 177830 A,59,1.47,2.99
HD 177830 A c,Confirmed,,,0.008707,0.5137,2010,Published in a refereed paper,Radial Velocity,HD 177830 c,,HD 177830 A,59,1.47,2.99
HD 178911 B b,Confirmed,,,0.006848,0.32,2001,Published in a refereed paper,Radial Velocity,,,HD 178911 B,46.73,1.07,1.14
HD 179079 b,Confirmed,,,0.001727,0.1214,2009,Published in a refereed paper,Radial Velocity,,,HD 179079,63.69,1.087,1.48
HD 179949 b,Confirmed,,1.05,0.001667,0.045,2000,Published in a refereed paper,Radial Velocity,,"CO, H2O",HD 179949,27,1.28,1.19
